Place,State,Type,Associated_Moods,Description
Kaziranga National Park,Assam,Wildlife,"Adventurous, Nature-loving",Dense forest and exotic wildlife sightings.
Ranthambore,Rajasthan,Wildlife,"Adventurous, Nature-loving",Tiger reserve and natural park.
Leh Ladakh,Jammu and Kashmir,Mountain,"Thrill-seeking, Calm",High altitude deserts and Buddhist monasteries.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Mysore Palace,Karnataka,Historical,"Cultural, Historical",Royal palace with rich history.
Ranthambore,Rajasthan,Wildlife,"Adventurous, Nature-loving",Tiger reserve and natural park.
Mysore Palace,Karnataka,Historical,"Cultural, Historical",Royal palace with rich history.
Rishikesh,Uttarakhand,Adventure,"Adventurous, Calm","Yoga, rafting, and peaceful retreats."
Agra,Uttar Pradesh,Historical,"Romantic, Cultural",Home to the Taj Mahal.
Mysore Palace,Karnataka,Historical,"Cultural, Historical",Royal palace with rich history.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Goa Beach,Goa,Beach,"Relaxed, Fun",A sunny beach with parties and water sports.
Leh Ladakh,Jammu and Kashmir,Mountain,"Thrill-seeking, Calm",High altitude deserts and Buddhist monasteries.
Andaman Islands,Andaman and Nicobar,Island,"Relaxed, Romantic",Scenic beaches and marine life exploration.
Andaman Islands,Andaman and Nicobar,Island,"Relaxed, Romantic",Scenic beaches and marine life exploration.
Jaipur,Rajasthan,Historical,"Cultural, Curious",Pink city with forts and bazaars.
Leh Ladakh,Jammu and Kashmir,Mountain,"Thrill-seeking, Calm",High altitude deserts and Buddhist monasteries.
Ooty,Tamil Nadu,Hill Station,"Romantic, Calm",Cool climate with botanical gardens.
Mysore Palace,Karnataka,Historical,"Cultural, Historical",Royal palace with rich history.
Udaipur,Rajasthan,Romantic,"Romantic, Luxurious",Lake city known for its palaces and heritage.
Ranthambore,Rajasthan,Wildlife,"Adventurous, Nature-loving",Tiger reserve and natural park.
Rishikesh,Uttarakhand,Adventure,"Adventurous, Calm","Yoga, rafting, and peaceful retreats."
Agra,Uttar Pradesh,Historical,"Romantic, Cultural",Home to the Taj Mahal.
Manali Hills,Himachal Pradesh,Hill Station,"Peaceful, Adventurous",Snow-capped mountains and serene views.
Leh Ladakh,Jammu and Kashmir,Mountain,"Thrill-seeking, Calm",High altitude deserts and Buddhist monasteries.
Udaipur,Rajasthan,Romantic,"Romantic, Luxurious",Lake city known for its palaces and heritage.
Varanasi Temple,Uttar Pradesh,Spiritual,"Spiritual, Reflective",Ancient temples and ghats along the Ganges.
Goa Beach,Goa,Beach,"Relaxed, Fun",A sunny beach with parties and water sports.
Coorg,Karnataka,Hill Station,"Peaceful, Nature-loving",Lush green hills with coffee plantations.
Agra,Uttar Pradesh,Historical,"Romantic, Cultural",Home to the Taj Mahal.
Goa Beach,Goa,Beach,"Relaxed, Fun",A sunny beach with parties and water sports.
Ranthambore,Rajasthan,Wildlife,"Adventurous, Nature-loving",Tiger reserve and natural park.
Udaipur,Rajasthan,Romantic,"Romantic, Luxurious",Lake city known for its palaces and heritage.
Kaziranga National Park,Assam,Wildlife,"Adventurous, Nature-loving",Dense forest and exotic wildlife sightings.
Agra,Uttar Pradesh,Historical,"Romantic, Cultural",Home to the Taj Mahal.
Jaipur,Rajasthan,Historical,"Cultural, Curious",Pink city with forts and bazaars.
Rishikesh,Uttarakhand,Adventure,"Adventurous, Calm","Yoga, rafting, and peaceful retreats."
Kaziranga National Park,Assam,Wildlife,"Adventurous, Nature-loving",Dense forest and exotic wildlife sightings.
Ranthambore,Rajasthan,Wildlife,"Adventurous, Nature-loving",Tiger reserve and natural park.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Andaman Islands,Andaman and Nicobar,Island,"Relaxed, Romantic",Scenic beaches and marine life exploration.
Agra,Uttar Pradesh,Historical,"Romantic, Cultural",Home to the Taj Mahal.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Jaipur,Rajasthan,Historical,"Cultural, Curious",Pink city with forts and bazaars.
Goa Beach,Goa,Beach,"Relaxed, Fun",A sunny beach with parties and water sports.
Coorg,Karnataka,Hill Station,"Peaceful, Nature-loving",Lush green hills with coffee plantations.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Ranthambore,Rajasthan,Wildlife,"Adventurous, Nature-loving",Tiger reserve and natural park.
Varanasi Temple,Uttar Pradesh,Spiritual,"Spiritual, Reflective",Ancient temples and ghats along the Ganges.
Ranthambore,Rajasthan,Wildlife,"Adventurous, Nature-loving",Tiger reserve and natural park.
Varanasi Temple,Uttar Pradesh,Spiritual,"Spiritual, Reflective",Ancient temples and ghats along the Ganges.
Goa Beach,Goa,Beach,"Relaxed, Fun",A sunny beach with parties and water sports.
Udaipur,Rajasthan,Romantic,"Romantic, Luxurious",Lake city known for its palaces and heritage.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Udaipur,Rajasthan,Romantic,"Romantic, Luxurious",Lake city known for its palaces and heritage.
Jaipur,Rajasthan,Historical,"Cultural, Curious",Pink city with forts and bazaars.
Goa Beach,Goa,Beach,"Relaxed, Fun",A sunny beach with parties and water sports.
Agra,Uttar Pradesh,Historical,"Romantic, Cultural",Home to the Taj Mahal.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Kaziranga National Park,Assam,Wildlife,"Adventurous, Nature-loving",Dense forest and exotic wildlife sightings.
Coorg,Karnataka,Hill Station,"Peaceful, Nature-loving",Lush green hills with coffee plantations.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Udaipur,Rajasthan,Romantic,"Romantic, Luxurious",Lake city known for its palaces and heritage.
Agra,Uttar Pradesh,Historical,"Romantic, Cultural",Home to the Taj Mahal.
Goa Beach,Goa,Beach,"Relaxed, Fun",A sunny beach with parties and water sports.
Mysore Palace,Karnataka,Historical,"Cultural, Historical",Royal palace with rich history.
Coorg,Karnataka,Hill Station,"Peaceful, Nature-loving",Lush green hills with coffee plantations.
Rishikesh,Uttarakhand,Adventure,"Adventurous, Calm","Yoga, rafting, and peaceful retreats."
Leh Ladakh,Jammu and Kashmir,Mountain,"Thrill-seeking, Calm",High altitude deserts and Buddhist monasteries.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Manali Hills,Himachal Pradesh,Hill Station,"Peaceful, Adventurous",Snow-capped mountains and serene views.
Manali Hills,Himachal Pradesh,Hill Station,"Peaceful, Adventurous",Snow-capped mountains and serene views.
Andaman Islands,Andaman and Nicobar,Island,"Relaxed, Romantic",Scenic beaches and marine life exploration.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Ooty,Tamil Nadu,Hill Station,"Romantic, Calm",Cool climate with botanical gardens.
Sundarbans,West Bengal,Wildlife,"Curious, Explorative",Mangrove forests and tigers.
Agra,Uttar Pradesh,Historical,"Romantic, Cultural",Home to the Taj Mahal.
Leh Ladakh,Jammu and Kashmir,Mountain,"Thrill-seeking, Calm",High altitude deserts and Buddhist monasteries.
Ranthambore,Rajasthan,Wildlife,"Adventurous, Nature-loving",Tiger reserve and natural park.
Andaman Islands,Andaman and Nicobar,Island,"Relaxed, Romantic",Scenic beaches and marine life exploration.
