Place,State,Type,Associated_Moods,Description
Place 1,Assam,Romantic,"Relaxed, Peaceful",Famous for its historical significance and architecture.
Place 2,Rajasthan,Adventure,"Relaxed, Curious",A serene destination with breathtaking views.
Place 3,Himachal Pradesh,Romantic,"Festive, Peaceful",Known for its vibrant culture and scenic beauty.
Place 4,Himachal Pradesh,Adventure,"Festive, Romantic, Spiritual",Famous for its historical significance and architecture.
Place 5,Maharashtra,Hill Station,Spiritual,Ideal for wildlife lovers and bird watchers.
Place 6,Uttarakhand,Romantic,"Curious, Romantic",Perfect for nature lovers and adventure seekers.
Place 7,Rajasthan,Wildlife,Peaceful,Known for its vibrant culture and scenic beauty.
Place 8,Gujarat,Wildlife,"Relaxed, Festive, Curious",Ideal for wildlife lovers and bird watchers.
Place 9,Karnataka,Beach,"Peaceful, Curious",Offers a mix of tradition and modern lifestyle.
Place 10,Assam,Pilgrimage,Relaxed,Ideal for wildlife lovers and bird watchers.
Place 11,Rajasthan,Hill Station,"Relaxed, Romantic, Adventurous",Great for spiritual retreats and calm environments.
Place 12,Karnataka,Cultural,"Adventurous, Spiritual, Peaceful",Offers a mix of tradition and modern lifestyle.
Place 13,Kerala,Adventure,"Nature-loving, Spiritual",A serene destination with breathtaking views.
Place 14,Maharashtra,Adventure,"Spiritual, Peaceful, Relaxed",Ideal for wildlife lovers and bird watchers.
Place 15,Kerala,Adventure,Relaxed,Perfect for nature lovers and adventure seekers.
Place 16,Goa,Pilgrimage,"Nature-loving, Peaceful, Adventurous",Offers a mix of tradition and modern lifestyle.
Place 17,Tamil Nadu,Wildlife,"Peaceful, Adventurous",Ideal for wildlife lovers and bird watchers.
Place 18,Goa,Adventure,"Peaceful, Romantic",Known for its vibrant culture and scenic beauty.
Place 19,Uttarakhand,Adventure,"Relaxed, Curious",Famous for its historical significance and architecture.
Place 20,Rajasthan,Wildlife,"Adventurous, Nature-loving",Famous for its historical significance and architecture.
Place 21,Assam,Wildlife,Curious,Popular spot for romantic getaways and honeymoons.
Place 22,Karnataka,Wildlife,Curious,Popular spot for romantic getaways and honeymoons.
Place 23,Karnataka,Cultural,Relaxed,Famous for its historical significance and architecture.
Place 24,Uttarakhand,Pilgrimage,Adventurous,Ideal for wildlife lovers and bird watchers.
Place 25,Rajasthan,Cultural,"Relaxed, Adventurous, Peaceful",Popular spot for romantic getaways and honeymoons.
Place 26,Kerala,Romantic,Peaceful,Known for its vibrant culture and scenic beauty.
Place 27,Karnataka,Cultural,"Festive, Peaceful",Famous for its historical significance and architecture.
Place 28,Rajasthan,Wildlife,"Romantic, Nature-loving, Adventurous",Great for spiritual retreats and calm environments.
Place 29,Gujarat,Hill Station,"Adventurous, Peaceful",Famous for its historical significance and architecture.
Place 30,Uttarakhand,Beach,"Festive, Romantic, Curious",Great for spiritual retreats and calm environments.
Place 31,Kerala,Wildlife,"Romantic, Peaceful, Adventurous",Known for its vibrant culture and scenic beauty.
Place 32,Gujarat,Beach,Adventurous,Offers a mix of tradition and modern lifestyle.
Place 33,Karnataka,Adventure,Spiritual,Popular spot for romantic getaways and honeymoons.
Place 34,Kerala,Hill Station,"Peaceful, Festive, Nature-loving",Ideal for wildlife lovers and bird watchers.
